,-180,-165,-150,-135,-120,-105,-90,-75,-60,-45,-30,-15,0,15,30,45,60,75,90,105,120,135,150,165,180
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.03
75,0.13,0.1,0.06,0.03,0,0,0,0,0,0.02,0.04,0.07,0.09,0.11,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.18,0.16,0.13
70,0.36,0.28,0.19,0.11,0.06,0.03,0.02,0.03,0.05,0.09,0.14,0.2,0.26,0.3,0.33,0.35,0.35,0.36,0.38,0.4,0.42,0.45,0.45,0.42,0.36
65,0.79,0.62,0.45,0.29,0.18,0.12,0.09,0.11,0.16,0.25,0.36,0.49,0.59,0.65,0.69,0.71,0.72,0.73,0.76,0.79,0.86,0.91,0.93,0.9,0.79
60,1.49,1.21,0.91,0.62,0.41,0.28,0.24,0.26,0.37,0.55,0.78,0.98,1.15,1.26,1.29,1.31,1.33,1.34,1.38,1.44,1.59,1.69,1.75,1.68,1.49
55,2.54,2.1,1.62,1.16,0.81,0.58,0.5,0.54,0.76,1.09,1.53,1.87,2.07,2.14,2.17,2.18,2.2,2.24,2.29,2.44,2.65,2.84,2.95,2.84,2.54
50,3.93,3.22,2.63,2.01,1.43,1.07,0.92,1.01,1.37,1.98,2.65,3.08,3.33,3.43,3.4,3.4,3.42,3.52,3.62,3.81,4.15,4.38,4.56,4.36,3.93
45,5.3,4.66,3.97,3.08,2.33,1.77,1.52,1.7,2.29,3.21,4.22,4.76,4.97,5.02,4.99,4.97,5.1,5.2,5.35,5.56,5.85,6.13,6.21,5.83,5.3
40,7.42,6.2,5.29,4.49,3.48,2.72,2.36,2.6,3.59,4.84,5.94,6.91,7.25,7.17,6.95,6.91,7.1,7.35,7.59,7.95,8.62,9.09,9.04,8.49,7.42
35,9.32,8.65,7.33,5.81,4.84,3.83,3.41,3.72,4.97,6.94,9.08,9.75,9.8,9.67,9.67,9.88,10.3,10.58,10.83,10.95,11.06,11.34,10.99,10.17,9.32
30,11.42,10.19,9.28,8.17,6.42,5.13,4.41,4.96,7.06,9.81,11,11.56,11.72,11.71,11.73,12.01,12.44,12.74,13.16,13.65,13.73,13.59,13.13,12.42,11.42
25,12.7,11.97,11.18,10.19,8.73,7,5.99,6.77,9.31,11.55,12.56,13.14,13.46,13.65,13.83,14.13,14.55,14.95,15.2,15.24,15.11,14.77,14.19,13.47,12.7
20,13.56,12.9,12.24,11.45,10.11,8.02,6.65,7.79,11.22,12.56,13.4,13.96,14.36,14.66,14.91,15.25,15.74,16.19,16.43,16.38,16.12,15.65,14.99,14.27,13.56
15,14.23,13.64,13.07,12.41,11.39,9.95,9.31,10.5,12.13,13.12,13.81,14.33,14.77,15.15,15.51,15.96,16.52,17.01,17.24,17.14,16.78,16.23,15.56,14.87,14.23
10,14.73,14.21,13.7,13.15,12.4,11.49,11,11.73,12.61,13.35,13.86,14.29,14.75,15.21,15.67,16.24,16.89,17.42,17.66,17.53,17.11,16.53,15.89,15.29,14.73
5,15.04,14.58,14.12,13.64,13.08,12.42,12.04,12.25,12.8,13.29,13.58,13.89,14.33,14.84,15.42,16.11,16.84,17.42,17.67,17.54,17.12,16.55,15.99,15.5,15.04
0,15.12,14.74,14.33,13.9,13.43,12.91,12.48,12.45,12.76,12.98,13.02,13.17,13.56,14.1,14.78,15.6,16.4,17.01,17.28,17.19,16.79,16.28,15.82,15.46,15.12
-5,14.93,14.66,14.32,13.94,13.53,13.06,12.61,12.44,12.52,12.47,12.24,12.21,12.52,13.06,13.83,14.74,15.59,16.2,16.5,16.45,16.12,15.68,15.34,15.14,14.93
-10,14.45,14.3,14.07,13.78,13.43,13,12.55,12.25,12.1,11.79,11.27,11.03,11.25,11.82,12.63,13.59,14.43,15.01,15.31,15.33,15.07,14.71,14.5,14.47,14.45
-15,13.6,13.65,13.58,13.41,13.14,12.77,12.31,11.9,11.55,10.97,10.14,9.59,9.8,10.31,11.19,12.11,12.87,13.42,13.69,13.78,13.58,13.3,13.25,13.38,13.6
-20,12.27,12.66,12.82,12.82,12.66,12.37,11.92,11.4,10.82,9.92,8.86,8.11,8.06,8.6,9.35,10.1,10.64,11.02,11.34,11.49,11.04,10.5,10.58,11.61,12.27
-25,9.63,10.67,11.58,12,12.01,11.82,11.41,10.74,9.94,8.83,7.58,6.72,6.66,7.11,7.7,8.17,8.31,8.12,8.02,8.11,8.02,7.94,8.46,9.26,9.63
-30,7.63,8.99,8.75,10.52,11.16,11.13,10.73,9.96,9.02,7.7,6.35,5.68,5.35,5.55,5.84,5.87,5.69,5.51,5.44,5.41,5.45,5.5,5.83,6.46,7.63
-35,5.39,6.27,7.69,7.95,9.68,10.28,9.87,9.13,7.96,6.52,5.56,4.73,4.26,4.2,4.28,4.3,4.14,3.9,3.62,3.57,3.59,3.73,4.17,4.82,5.39
-40,3.99,4.49,5.34,6.51,7.85,9.14,8.88,8.12,6.87,5.88,4.75,3.86,3.45,3.34,3.35,3.24,3.01,3,3,3,3,3,3,3.21,3.99
-45,3,3.25,4.09,4.76,5.86,7.43,7.88,7.34,6.41,5.01,3.88,3.2,2.78,2.63,2.44,2.24,2.04,2,2,2,2,2,2,2.07,3
-50,2,2.18,3.03,3.67,4.42,5.13,5.9,5.76,4.9,3.99,3.21,2.65,2.23,2.05,1.8,1.52,1.21,1,1,1,1,1,1,1.15,2
-55,1,1.32,2.03,3,3.25,3.92,4.31,4.27,3.86,3.24,2.65,2.14,1.81,1.53,1.29,1.05,0.75,0.51,0.33,0.25,0.23,0.27,0.38,0.59,1
-60,0.48,0.77,1.14,2,2.17,3,3.17,3.32,3.07,2.48,2.04,1.65,1.36,1.13,0.9,0.68,0.45,0.27,0.15,0.09,0.07,0.09,0.15,0.27,0.48
-65,0.23,0.42,0.68,1.02,1.4,2,2.09,2.23,2.13,1.8,1.5,1.22,1,0.8,0.61,0.42,0.26,0.13,0.06,0.01,0,0,0.04,0.11,0.23
-70,0.1,0.21,0.37,0.59,0.83,1.07,1.28,1.37,1.34,1.23,1.04,0.88,0.7,0.55,0.4,0.26,0.15,0.06,0.01,0,0,0,0,0.03,0.1
-75,0.05,0.11,0.2,0.33,0.47,0.62,0.73,0.81,0.81,0.75,0.67,0.57,0.45,0.35,0.25,0.16,0.08,0.03,0,0,0,0,0,0,0.05
-80,0.03,0.07,0.12,0.18,0.25,0.32,0.38,0.42,0.44,0.42,0.38,0.33,0.27,0.21,0.15,0.1,0.06,0.02,0,0,0,0,0,0,0.03
-85,0.04,0.06,0.08,0.1,0.13,0.16,0.18,0.19,0.2,0.2,0.19,0.17,0.15,0.12,0.1,0.07,0.05,0.04,0.02,0.01,0,0,0.01,0.02,0.04
-90,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07
